iter	Passed	Remaining
400	25630	6327
401	25759	6279
402	25863	6225
403	25947	6165
404	25995	6097
405	26002	6020
406	26082	5959
407	26094	5884
408	26174	5823
409	26256	5763
410	26295	5694
411	26305	5618
412	26387	5558
413	26444	5493
414	26518	5431
415	26605	5372
416	26664	5307
417	26706	5239
418	26716	5164
419	26772	5099
420	26779	5025
421	26909	4973
422	26966	4908
423	26978	4835
424	27042	4772
425	27098	4707
426	27143	4640
427	27206	4576
428	27234	4507
429	27240	4434
430	27295	4369
431	27301	4297
432	27400	4239
433	27580	4194
434	27709	4140
435	27776	4077
436	27797	4007
437	27824	3938
438	27937	3881
439	27949	3811
440	28063	3754
441	28113	3689
442	28212	3629
443	28295	3568
444	28358	3504
445	28454	3445
446	28555	3385
447	28689	3330
448	28767	3267
449	28833	3203
450	28935	3143
451	28968	3076
452	29034	3012
453	29121	2950
454	29212	2889
455	29273	2824
456	29416	2767
457	29614	2715
458	29630	2646
459	29750	2586
460	29928	2531
461	30024	2469
462	30128	2407
463	30217	2344
464	30233	2275
465	30339	2213
466	30583	2161
467	30676	2097
468	30805	2036
469	30953	1975
470	31079	1913
471	31204	1851
472	31323	1788
473	31335	1718
474	31343	1649
475	31427	1584
476	31520	1519
477	31815	1464
478	31924	1399
479	31969	1332
480	31975	1263
481	32018	1195
482	32028	1127
483	32085	1060
484	32153	994
485	32216	928
486	32251	860
487	32262	793
488	32288	726
489	32366	660
490	32449	594
491	32465	527
492	32533	461
493	32589	395
494	32655	329
495	32744	264
496	32845	198
497	32981	132
498	33049	66
499	33101	0
