iter	Logloss
267	0.6925397457
268	0.6925397457
269	0.6925388828
270	0.692537461
271	0.6925356152
272	0.6925356152
273	0.6925337383
274	0.6925337383
275	0.6925329382
276	0.6925329382
277	0.6925293819
278	0.6925254526
279	0.692516465
280	0.6925163032
281	0.6925059723
282	0.6925047388
283	0.692504451
284	0.692500772
285	0.692500772
286	0.6924996275
287	0.6924923702
288	0.6924920949
289	0.6924902549
290	0.6924879493
291	0.6924870315
292	0.6924863394
293	0.6924835166
294	0.6924820941
295	0.6924792653
296	0.6924787665
297	0.6924759487
298	0.6924751375
299	0.6924751375
300	0.6924736865
301	0.6924702933
302	0.6924701276
303	0.6924700735
304	0.6924668477
305	0.6924662394
306	0.6924662394
307	0.6924638952
308	0.6924614784
309	0.6924606535
310	0.6924595741
311	0.6924568034
312	0.6924545782
313	0.6924524773
314	0.6924511671
315	0.6924496877
316	0.6924478205
317	0.6924478205
318	0.6924461605
319	0.6924429635
320	0.6924416592
321	0.692439196
322	0.6924383195
323	0.6924351956
324	0.6924339504
325	0.692425509
326	0.6924249816
327	0.6924231096
328	0.6924230221
329	0.6924230143
330	0.6924218166
331	0.6924212322
332	0.6924212322
333	0.6924090542
334	0.6924078952
335	0.6924048842
336	0.6924028104
337	0.6923971369
338	0.6923905568
339	0.6923902638
340	0.6923902638
341	0.6923854322
342	0.6923850894
343	0.692383606
344	0.6923815713
345	0.6923775888
346	0.6923739964
347	0.6923731362
348	0.6923696611
349	0.6923696562
350	0.6923649068
351	0.6923644244
352	0.6923624139
353	0.6923561752
354	0.6923553451
355	0.6923546918
356	0.6923517054
357	0.6923486048
358	0.6923482406
359	0.6923482406
360	0.6923464105
361	0.6923447309
362	0.6923447309
363	0.6923415186
364	0.6923379045
365	0.6923364798
366	0.6923353455
367	0.6923345923
368	0.6923344163
369	0.6923326387
370	0.6923326335
371	0.6923315543
372	0.692330134
373	0.6923300878
374	0.6923236955
375	0.6923233435
376	0.6923218399
377	0.6923206559
378	0.6923204877
379	0.6923195492
380	0.6923156487
381	0.6923088022
382	0.6923067847
383	0.6923056867
384	0.6922963664
385	0.6922960125
386	0.6922951551
387	0.6922951551
388	0.6922919828
389	0.6922884865
390	0.6922857113
391	0.6922856935
392	0.6922851533
393	0.6922848253
394	0.6922841295
395	0.6922840125
396	0.6922789663
397	0.6922789663
398	0.6922786404
399	0.6922766271
400	0.692275681
401	0.692274351
402	0.6922736236
403	0.6922728307
404	0.6922720028
405	0.6922720028
406	0.6922642045
407	0.6922642045
408	0.6922591922
409	0.6922588702
410	0.6922575221
411	0.6922575221
412	0.6922568216
413	0.6922561412
414	0.6922545582
415	0.6922505514
416	0.6922431592
417	0.6922347968
418	0.6922347968
419	0.6922341405
420	0.6922341405
421	0.6922302721
422	0.6922302719
423	0.6922302719
424	0.6922289008
425	0.6922266614
426	0.6922254294
427	0.6922199583
428	0.6922196598
429	0.6922196598
430	0.6922174295
431	0.6922172191
432	0.6922157129
433	0.692213947
434	0.692213138
435	0.692212351
436	0.692212351
437	0.6922104415
438	0.6922097212
439	0.6922097212
440	0.6922096763
441	0.6922096763
442	0.6922052187
443	0.6922040538
444	0.6922023847
445	0.6921997005
446	0.6921989263
447	0.6921951831
448	0.6921931531
449	0.6921928033
450	0.6921900633
451	0.6921900633
452	0.6921861869
453	0.6921854605
454	0.6921820904
455	0.6921820904
456	0.6921793027
457	0.6921776384
458	0.6921776384
459	0.6921769996
460	0.6921736925
461	0.6921707517
462	0.6921697107
463	0.6921648998
464	0.6921648998
465	0.6921641899
466	0.6921637409
467	0.6921607302
468	0.6921562607
469	0.6921552083
470	0.6921504281
471	0.6921486512
472	0.6921479869
473	0.6921479869
474	0.6921479869
475	0.6921454422
476	0.6921439025
477	0.6921400299
478	0.6921335523
479	0.6921328975
480	0.6921328975
481	0.6921327022
482	0.6921327022
483	0.6921306845
484	0.692129757
485	0.6921266955
486	0.6921265413
487	0.6921233048
488	0.6921217727
489	0.6921186614
490	0.6921174042
491	0.6921080816
492	0.6921047852
493	0.6921033853
494	0.6921001015
495	0.6920956315
496	0.6920939923
497	0.6920917615
498	0.6920914718
499	0.6920846964
