team,points,op team,op points,home away,season,vegas line,o/u margin,vegas line total,assists,ats streak,attendance,biggest lead,blocks,conference west/east,defensive rebounds,fast break points,field goals attempted,field goal percentage,fouls,free throws made,free throw percentage,lead changes,losses,margin after the first,margin at the half,matchup losses,matchup wins,offensive rebounds,officials,ou streak,overtime,points in the paint,rest,site streak,steals,streak,team rebounds,three pointers made,time of game,turnovers,wins,win percentage,matchup,o/u,WL,o/u margin class,time zone__C,time zone__M,time zone__P,division__Atlantic,division__Central,division__Northwest,division__Pacific,division__Southeast,division__Southwest,day__Friday,day__Monday,day__Saturday,day__Sunday,day__Thursday,day__Tuesday,day__Wednesday
Wizards,102,Thunder,96,1,2017,3.0,-18.5,216.5,27.0,1,20356.0,9.0,7.0,0,36.0,8.0,89.0,38.2,28.0,27.0,93.1,16.0,22,5.0,-1.0,1,0,7.0,"['Tony Brothers', 'Jacyn Goble', 'Marat Kogut']",2,0.0,32.0,2.0,-5,8.0,1,10.0,7.0,141.0,12.0,27,122.73,Wizards Thunder,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Thunder,96,Wizards,102,0,2017,-3.0,-18.5,216.5,19.0,3,20356.0,6.0,8.0,1,38.0,12.0,80.0,37.5,24.0,27.0,79.41,16.0,20,-5.0,1.0,0,1,14.0,"['Tony Brothers', 'Jacyn Goble', 'Marat Kogut']",5,0.0,34.0,1.0,1,7.0,8,9.0,9.0,141.0,20.0,30,150.0,Thunder Wizards,0,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cavaliers,91,Heat,89,1,2017,-2.0,-32.0,212.0,18.0,-1,20562.0,14.0,5.0,0,38.0,11.0,80.0,35.0,20.0,29.0,76.32,12.0,20,6.0,-2.0,0,1,7.0,"['Scott Foster', 'Mitchell Ervin', 'Karl Lane']",2,0.0,32.0,0.0,-1,9.0,-1,12.0,6.0,146.0,16.0,29,145.0,Cavaliers Heat,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Heat,89,Cavaliers,91,0,2017,2.0,-32.0,212.0,17.0,1,20562.0,4.0,5.0,0,46.0,9.0,83.0,43.37,25.0,14.0,56.0,12.0,21,-6.0,2.0,1,0,6.0,"['Scott Foster', 'Mitchell Ervin', 'Karl Lane']",-4,0.0,52.0,1.0,-1,8.0,2,10.0,3.0,146.0,19.0,29,138.1,Heat Cavaliers,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Celtics,103,Knicks,73,1,2017,-8.5,-26.0,202.0,27.0,3,18624.0,33.0,3.0,0,44.0,8.0,83.0,48.19,22.0,12.0,60.0,5.0,15,3.0,5.0,1,1,5.0,"['Mike Callahan', 'Derrick Collins', 'Marat Kogut']",1,0.0,42.0,1.0,-4,8.0,1,15.0,11.0,128.0,9.0,36,240.0,Celtics Knicks,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Knicks,73,Celtics,103,0,2017,8.5,-26.0,202.0,16.0,2,18624.0,5.0,4.0,0,35.0,7.0,87.0,32.18,17.0,14.0,66.67,5.0,28,-3.0,-5.0,1,1,9.0,"['Mike Callahan', 'Derrick Collins', 'Marat Kogut']",-2,0.0,38.0,0.0,1,4.0,2,9.0,3.0,128.0,14.0,23,82.14,Knicks Celtics,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Hawks,110,Hornets,123,1,2017,3.0,21.0,212.0,26.0,1,13103.0,0.0,4.0,0,25.0,8.0,77.0,50.65,16.0,20.0,90.91,0.0,35,-7.0,-12.0,2,0,4.0,"['Eric Lewis', 'Josh Tiven', 'Scott Twardoski']",-1,0.0,42.0,1.0,2,5.0,1,6.0,12.0,129.0,9.0,15,42.86,Hawks Hornets,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Hornets,123,Hawks,110,0,2017,-3.0,21.0,212.0,29.0,-1,13103.0,21.0,1.0,0,30.0,12.0,90.0,51.11,21.0,14.0,77.78,0.0,29,7.0,12.0,0,2,12.0,"['Eric Lewis', 'Josh Tiven', 'Scott Twardoski']",-2,0.0,40.0,1.0,-2,6.0,-2,11.0,17.0,129.0,10.0,20,68.97,Hornets Hawks,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Magic,127,Lakers,105,1,2017,2.0,15.0,217.0,28.0,2,18553.0,29.0,4.0,0,31.0,20.0,81.0,54.32,23.0,21.0,72.41,1.0,35,4.0,7.0,0,0,4.0,"['James Williams', 'Jacyn Goble', 'Scott Wall']",0,0.0,40.0,0.0,-2,13.0,-3,11.0,18.0,126.0,14.0,14,40.0,Magic Lakers,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Lakers,105,Magic,127,0,2017,-2.0,15.0,217.0,18.0,-1,18553.0,6.0,1.0,1,32.0,18.0,83.0,46.99,18.0,23.0,76.67,1.0,30,-4.0,-7.0,0,0,11.0,"['James Williams', 'Jacyn Goble', 'Scott Wall']",1,0.0,56.0,2.0,-2,7.0,-1,7.0,4.0,126.0,16.0,19,63.33,Lakers Magic,1,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
